"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.965538473,      0.7789196962,       1.104463671,       3.823959991
          0,           0,           1,      -1.998471884,      0.7909680667,      0.9420510608,        3.79166284
          0,           0,           2,      -2.026415534,      0.7889682166,      0.8081246013,       3.764347228
          0,           0,           3,       -2.05497518,      0.7823103864,      0.6574594382,       3.736470308
          0,           0,           4,      -2.077953219,      0.7685975961,      0.5676285771,       3.713936833
          0,           0,           5,       -2.09740711,      0.7544498417,      0.5057100071,        3.69423031
          0,           0,           6,        -2.1108208,      0.7427509902,      0.4759693218,       3.679829111
          0,           0,           7,      -2.121369848,      0.7330559829,      0.4590809402,       3.667777485
          0,           0,           8,      -2.132430896,      0.7221284396,      0.4511819307,       3.655155103
          0,           0,           9,      -2.146170867,      0.7073275024,      0.4413058186,       3.640514938
          0,           0,          10,      -2.158406964,      0.6930761907,      0.4454091644,       3.628098536
          0,           0,          11,      -2.167723494,       0.681522183,      0.4500318434,        3.61900715
          0,           0,          12,       -2.16869055,      0.6784797083,      0.4629722005,       3.618571666
          0,           0,          13,      -2.172010816,      0.6740091717,      0.4635682684,       3.615572537
          0,           0,          14,      -2.178922989,      0.6652264982,      0.4661261788,        3.60920247
          0,           0,          15,      -2.183984024,      0.6581077327,      0.4748862124,       3.604639808
          0,           0,          16,      -2.188844762,      0.6530559574,      0.4684071571,       3.599448986
          0,           0,          17,      -2.188952356,      0.6524305586,       0.473000354,       3.599524409
          0,           0,          18,      -2.186370701,      0.6547950151,      0.4803707645,       3.603130757
          0,           0,          19,      -2.187943811,      0.6543302338,      0.4713995378,       3.602512648
          0,           0,          20,      -2.192569391,      0.6506651594,      0.4613368031,       3.597882389
          0,           0,          21,      -2.198636875,      0.6437158122,      0.4590861473,       3.592168281
          0,           0,          22,      -2.218345885,      0.6244052521,      0.4320394107,       3.570677974
          0,           0,          23,      -2.231923272,      0.6092921723,      0.4266036158,       3.556207309
          0,           0,          24,      -2.246506003,      0.5954266547,       0.403931907,       3.540948195
          0,           0,          25,      -2.255661052,      0.5855630557,      0.4005583187,       3.531986034
          0,           0,          26,      -2.277012749,      0.5645747236,      0.3744406523,       3.508582599
          0,           0,          27,      -2.285268023,      0.5544255785,      0.3827157919,       3.500624518
          0,           0,          28,      -2.301825207,      0.5387153574,      0.3498212226,       3.482848336
          0,           0,          29,      -2.317661672,      0.5216931646,      0.3358658924,       3.465956709
          0,           0,          30,      -2.335800966,      0.5036375117,       0.316565388,       3.446317296
          0,           0,          31,      -2.353036775,      0.4848107707,      0.2951712681,       3.428108012
          0,           0,          32,      -2.367093805,      0.4688480947,      0.2915893349,       3.413534328
          0,           0,          33,      -2.385188363,      0.4508414903,       0.266364844,       3.392971168
          0,           0,          34,      -2.402694267,      0.4309434643,      0.2531808562,       3.374490003
          0,           0,          35,      -2.420140151,      0.4132308482,       0.232627804,       3.355847701
          0,           0,          36,      -2.433292005,      0.3980298755,      0.2325010373,       3.341055901
          0,           0,          37,      -2.453130932,      0.3767963817,      0.2161158328,       3.318714371
          0,           0,          38,      -2.475189387,      0.3548854271,      0.1628309531,       3.293170415
          0,           0,          39,      -2.490017199,      0.3382098828,      0.1434747662,       3.276039283
          0,           0,          40,      -2.495340083,       0.330745968,      0.1467927719,       3.271792501
          0,           0,          41,      -2.499789378,      0.3252517453,      0.1589494536,       3.263732208
          0,           0,          42,      -2.518486449,      0.3035396883,      0.1274307764,        3.24508524
          0,           0,          43,      -2.523713696,      0.2985291733,      0.1261231026,        3.23970538
          0,           0,          44,      -2.540222623,      0.2782943995,       0.124607765,       3.219491452
          0,           0,          45,      -2.546171653,      0.2708287086,      0.1428123954,       3.214813558
          0,           0,          46,      -2.549052486,      0.2702563273,      0.1178040127,        3.21504833
          0,           0,          47,      -2.558346414,      0.2593196479,      0.1020133832,       3.200498607
          0,           0,          48,       -2.57076341,      0.2449396644,     0.07912649836,       3.193256025
          0,           0,          49,      -2.582566162,      0.2380133831,     0.08683880717,       3.173683449
          0,           0,          50,       -2.61696188,      0.1953621938,      0.0766550041,       3.139186087
          0,           0,          51,      -2.617851653,      0.1936617214,      0.1097874819,       3.142807413
          0,           0,          52,      -2.620547903,      0.1963086379,     0.05551135558,       3.140872788
          0,           0,          53,       -2.61549293,      0.2040253502,     0.06142077513,       3.144533201
          0,           0,          54,      -2.623105815,      0.1979000639,     0.05700566872,       3.137313548
          0,           0,          55,      -2.635323479,      0.1841621447,     0.03979812755,       3.125683265
          0,           0,          56,      -2.640807044,        0.18094691,     0.04030964543,       3.122026962
          0,           0,          57,      -2.662002029,      0.1492291823,    -0.01099720565,       3.101707386
          0,           0,          58,      -2.666247483,      0.1494828192,     0.01897244097,       3.092071174
          0,           0,          59,      -2.685039951,      0.1242393933,    -0.02893762516,       3.078730835
          0,           0,          60,       -2.68142876,      0.1406485437,   -0.005938009089,       3.076826348
          0,           0,          61,      -2.696762031,      0.1256958863,    0.004539867032,       3.062140264
          0,           0,          62,      -2.716535248,      0.1011599689,    -0.04855502904,       3.044378917
          0,           0,          63,      -2.721014538,     0.09737478888,    -0.06585957564,       3.042209429
          0,           0,          64,       -2.71621788,      0.1050501854,    -0.04669145982,       3.047518868
          0,           0,          65,      -2.725947046,     0.09332488603,     0.01648295297,       3.036125953
          0,           0,          66,      -2.772554232,     0.03855083791,    -0.05343230087,        2.98909201
          0,           0,          67,      -2.791203831,     0.01722304626,     -0.1139620442,       2.972375801
          0,           0,          68,      -2.790016887,     0.02572751616,     -0.1436353862,       2.975701287
          0,           0,          69,         -2.792641,     0.02591592275,     -0.1235239823,        2.96814162
          0,           0,          70,      -2.802911681,     0.01324802476,     -0.1306800339,       2.961587746
          0,           0,          71,      -2.805921909,     0.01249575376,     -0.1418045018,       2.960493673
          0,           0,          72,       -2.82379055,   -0.002320762439,     -0.1262170999,       2.938168129
          0,           0,          73,      -2.849620889,    -0.01603172376,     -0.1455714424,       2.913601561
          0,           0,          74,      -2.881347144,    -0.05154664755,     -0.2002181021,        2.88547607
          0,           0,          75,      -2.896957544,     -0.0696044083,     -0.2041592798,       2.870991737
          0,           0,          76,      -2.919612228,    -0.09283875079,     -0.2690471602,       2.850217638
          0,           0,          77,      -2.933349016,     -0.1064017633,     -0.2510328209,       2.829520101
          0,           0,          78,      -2.974622825,     -0.1555749762,     -0.3034628602,       2.793017879
          0,           0,          79,      -2.983887899,     -0.1590192552,     -0.3166508773,       2.785908268
          0,           0,          80,       -2.98962586,     -0.1628289912,     -0.3037655445,       2.781130157
          0,           0,          81,      -2.976459152,     -0.1538804313,     -0.2519939742,       2.796017134
          0,           0,          82,      -2.992122835,     -0.1678438266,     -0.2189542796,       2.775641227
          0,           0,          83,      -3.008288204,     -0.2134699485,     -0.1376650091,       2.770832617
          0,           0,          84,       -3.05729733,     -0.2446782078,     -0.2498318415,       2.716263963
          0,           0,          85,      -3.124225597,     -0.3210512534,     -0.2775995888,       2.650889643
          0,           0,          86,      -3.083031278,     -0.2705196538,     -0.3072894472,       2.690872828
          0,           0,          87,      -3.082829889,     -0.2797344812,     -0.2708786751,       2.695831094
          0,           0,          88,      -3.090568156,     -0.2698244443,     -0.3313464719,       2.684080698
          0,           0,          89,      -3.095896542,     -0.2727410718,     -0.3426841142,       2.678277978
          0,           0,          90,      -3.153814337,      -0.333085724,     -0.5381078889,       2.611516863
          0,           0,          91,      -3.187060367,     -0.3751619839,     -0.5892138301,       2.569610497
          0,           0,          92,      -3.222685328,     -0.4139224374,     -0.6897338497,       2.525273739
          0,           0,          93,      -3.245193396,      -0.448988987,     -0.7210179331,       2.492758261
          0,           0,          94,       -3.28496214,     -0.4990908211,     -0.7528160267,       2.441140112
          0,           0,          95,      -3.306859245,     -0.5364603024,     -0.7594028191,       2.407063587
          0,           0,          96,      -3.346274641,     -0.5866566202,     -0.7798116819,       2.354758256
          0,           0,          97,      -3.367864609,     -0.6189955764,     -0.7783357321,       2.323835117
          0,           0,          98,       -3.39195888,     -0.6531352345,     -0.8223571449,       2.288690568
          0,           0,          99,      -3.404765568,     -0.6674576044,     -0.7797293661,       2.279492768
          0,           0,         100,      -3.421881993,     -0.6926718151,     -0.8384911478,       2.254575271
          0,           0,         101,      -3.435746589,     -0.7037381486,     -0.8245338025,       2.246351016
          0,           0,         102,      -3.460279883,     -0.7269738975,     -0.8718056798,       2.222304766
          0,           0,         103,       -3.48569058,     -0.7523917747,     -0.9411392681,       2.199891078
          0,           0,         104,      -3.501816828,     -0.7619249479,     -0.9341997985,       2.194510338
          0,           0,         105,      -3.522533207,     -0.7782701212,     -0.9546453443,       2.178919274
          0,           0,         106,      -3.545296902,     -0.7974523722,     -0.9942758074,       2.158256647
          0,           0,         107,      -3.543722518,     -0.7864080133,     -0.9149677721,       2.170505101
          0,           0,         108,      -3.559024594,     -0.7947417809,     -0.9491597324,        2.15727086
          0,           0,         109,      -3.575112999,     -0.8116131438,      -1.010703051,       2.136709165
          0,           0,         110,       -3.58127214,     -0.8173018584,      -1.001964514,       2.130143367
          0,           0,         111,      -3.546950977,     -0.7741171775,     -0.8484567588,       2.179349227
          0,           0,         112,      -3.540819315,     -0.7634869077,     -0.8160557326,       2.192607219
          0,           0,         113,      -3.531634214,     -0.7470989523,     -0.7677127599,       2.208458173
          0,           0,         114,       -3.52227535,     -0.7364609324,     -0.8106795622,       2.217668404
          0,           0,         115,      -3.543888959,     -0.7602502176,     -0.7897750907,       2.193969103
          0,           0,         116,      -3.561862724,     -0.7817623469,     -0.8263274717,       2.171616955
          0,           0,         117,      -3.578399618,     -0.7951482544,     -0.8804854184,       2.150507548
          0,           0,         118,      -3.539125691,     -0.7482286745,     -0.8246216972,       2.200413489
          0,           0,         119,      -3.530375859,      -0.728146503,     -0.8471461661,       2.211137724
          0,           0,         120,      -3.500279517,     -0.6743295929,     -0.8094771111,       2.247623954
          0,           0,         121,      -3.464418114,     -0.6292323426,     -0.7221813052,       2.290605099
          0,           0,         122,      -3.546463768,     -0.7466939277,     -0.9116668069,       2.190697196
          0,           0,         123,      -3.537961756,     -0.7449128755,     -0.8843059316,       2.200683843
          0,           0,         124,       -3.49310241,     -0.7005873025,     -0.6881486969,        2.25747021
          0,           0,         125,       -3.47596191,     -0.6897036268,      -0.649275583,       2.278963458
          0,           0,         126,      -3.421653788,     -0.6146769484,     -0.5772512602,       2.343122211
