x,V101_H321,V151_H421,V201_H521,V301_H621,V401_H721
7.279843557626008987e-03,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.815483059407325239e-03,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.035112256118864323e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.188676206296996121e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.342240156475127746e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.495804106653259372e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.649368056831391344e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.802932007009522969e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.956495957187654594e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.110059907365786219e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.263623857543917844e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.417187807722049817e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.570751757900181442e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.724315708078313067e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
