"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.9237492635,       4.977345008,       4.716755339,       6.979432341
          0,           0,           1,       1.850872091,       4.901481785,       4.647149451,       7.992980342
          0,           0,           2,       1.767759445,       4.801318698,       4.605576516,       7.908246425
          0,           0,           3,       1.753679991,       4.765297413,       4.655460305,       7.892526805
          0,           0,           4,       1.687099436,       4.697853501,       4.608348277,       7.823119072
          0,           0,           5,       1.661790095,       4.675348164,       4.589734816,       7.791666828
          0,           0,           6,       1.662284218,       4.678724666,       4.599331611,       7.800584153
          0,           0,           7,       1.696516601,       4.722375121,       4.637877161,       7.843531296
          0,           0,           8,       1.694636509,        4.72888901,       4.636262856,       7.845297396
          0,           0,           9,       1.727018333,       4.779610079,       4.661708885,       7.883148529
          0,           0,          10,       1.654422384,       4.702343709,       4.589390075,       7.805818671
          0,           0,          11,       1.697615413,       4.749309151,       4.636789593,       7.853115127
          0,           0,          12,       1.687813853,       4.747090851,       4.618306405,       7.833714688
          0,           0,          13,       1.595089843,        4.65435593,       4.509277459,        7.73153492
          0,           0,          14,       1.504335021,       4.572218153,       4.407447603,       7.640218134
          0,           0,          15,       1.321664464,        4.41041174,       4.204945966,       7.460486166
          0,           0,          16,       1.052204432,       4.147804863,       3.927930594,       7.186495357
          0,           0,          17,      0.4781453007,       3.557820616,       3.373311412,       6.603994836
          0,           0,          18,      0.2144851541,       3.305545193,       3.093156106,       6.342047458
          0,           0,          19,    -0.07884980138,        3.01712883,       2.793500929,       6.049355201
          0,           0,          20,     -0.5782255117,       2.505162239,       2.292509849,       5.541012922
          0,           0,          21,       -0.90082326,       2.190054464,       1.969927223,       5.223777319
          0,           0,          22,      -1.376767539,       1.701499326,       1.488301841,       4.737285813
          0,           0,          23,      -1.669056929,       1.418109791,       1.196965992,        4.45184611
          0,           0,          24,      -1.957523049,       1.136152181,      0.9087337349,       4.167552796
          0,           0,          25,      -2.445376297,      0.6343811395,      0.4175814859,       3.669738195
          0,           0,          26,      -2.767511298,      0.3202355438,     0.09663817791,       3.354013828
          0,           0,          27,      -3.098197721,   -0.004893125605,     -0.2337578441,       3.027018554
          0,           0,          28,      -3.615090601,     -0.5358345082,     -0.7548229147,       2.500827082
          0,           0,          29,      -3.975733601,     -0.8892002787,      -1.115013396,       2.146022486
          0,           0,          30,      -4.392544618,      -1.307272047,      -1.534075238,        1.72856761
          0,           0,          31,      -4.823393049,      -1.739923471,      -1.967711755,       1.297220042
          0,           0,          32,      -5.261215039,      -2.179629795,      -2.409442813,      0.8589457436
          0,           0,          33,      -5.704187227,      -2.624729056,      -2.857638825,      0.4154607435
          0,           0,          34,      -6.151565096,      -3.074604007,       -3.31171672,    -0.03246966797
          0,           0,          35,      -6.563261579,      -3.481506451,       -3.72672965,     -0.4403331692
          0,           0,          36,      -7.104481882,      -4.042415256,      -4.292631128,      -0.990029448
          0,           0,          37,      -7.524557184,      -4.456414545,      -4.719094231,      -1.406098715
          0,           0,          38,      -7.984108001,      -4.919883533,      -5.194587826,      -1.865588089
          0,           0,          39,      -8.450682485,      -5.391431642,      -5.682532214,      -2.332292273
          0,           0,          40,      -8.918680809,      -5.864195106,      -6.176820861,      -2.800244581
          0,           0,          41,      -9.365002839,      -6.305878512,      -6.642273159,      -3.242623181
          0,           0,          42,      -9.879107232,      -6.839558893,      -7.220684365,      -3.761109748
          0,           0,          43,      -10.32636064,      -7.279644493,      -7.690534813,      -4.206386562
          0,           0,          44,      -10.77803976,      -7.721268287,      -8.163211383,      -4.651827098
          0,           0,          45,      -11.24987164,      -8.173808311,      -8.690930676,      -5.114778321
          0,           0,          46,      -11.53152973,      -8.378352898,      -8.919102179,      -5.377172528
          0,           0,          47,       -11.6454326,      -8.442406148,      -9.037166873,      -5.466178678
          0,           0,          48,      -11.67596181,       -8.45396732,      -9.076104416,      -5.478156756
          0,           0,          49,       -11.6994493,      -8.470244092,      -9.099722176,       -5.49167453
          0,           0,          50,      -11.70288052,      -8.467743192,      -9.089037623,      -5.490629087
          0,           0,          51,      -11.68678947,      -8.453818632,      -9.077442443,      -5.476665345
          0,           0,          52,      -11.70121165,      -8.468939795,      -9.085310953,      -5.488181344
          0,           0,          53,      -11.69479026,       -8.45947913,       -9.09058256,      -5.483285394
          0,           0,          54,      -11.68064079,      -8.451057003,      -9.077746171,      -5.477653767
          0,           0,          55,      -11.70149536,      -8.467659632,      -9.088855649,      -5.492851973
          0,           0,          56,      -11.68994392,      -8.456825064,      -9.079311906,      -5.482264392
          0,           0,          57,      -11.70359564,      -8.471152393,      -9.100611021,      -5.494290322
          0,           0,          58,      -11.69352165,      -8.459298019,       -9.09254423,      -5.486558372
          0,           0,          59,      -11.69083751,      -8.459429366,      -9.076311687,      -5.486103752
          0,           0,          60,      -11.70443445,      -8.470643583,      -9.093511903,       -5.49014508
          0,           0,          61,      -11.69655913,      -8.463124151,      -9.093079353,      -5.487873109
          0,           0,          62,      -11.68680189,      -8.453273053,      -9.074546977,      -5.478671987
          0,           0,          63,       -11.6977149,      -8.463379487,      -9.089179486,      -5.486910401
          0,           0,          64,      -11.69127173,      -8.458243821,       -9.08335533,      -5.483355587
          0,           0,          65,      -11.68457841,      -8.453185927,      -9.078166121,        -5.4767886
          0,           0,          66,      -11.69846819,      -8.466434058,      -9.085337083,       -5.48907568
          0,           0,          67,      -11.69239811,      -8.460182297,      -9.077323615,      -5.487763184
          0,           0,          68,      -11.70122226,      -8.467878938,      -9.094627043,      -5.495973995
          0,           0,          69,      -11.69577636,      -8.461208404,      -9.091372086,      -5.487172302
