"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.537197517,       1.277417147,       1.650537681,       4.480837816
          0,           0,           1,       -1.54377667,       1.331353548,        1.52096447,       4.473349976
          0,           0,           2,      -1.554521034,       1.384546495,       1.362240056,       4.462688136
          0,           0,           3,      -1.566205475,       1.407784045,       1.240117779,       4.452144474
          0,           0,           4,      -1.585181128,       1.397172633,       1.188560103,       4.434384501
          0,           0,           5,       -1.61191321,       1.371439039,       1.160973365,        4.40888159
          0,           0,           6,      -1.633060605,        1.35124593,       1.140762005,       4.389083808
          0,           0,           7,      -1.647006626,       1.339883345,       1.121949772,       4.376092621
          0,           0,           8,      -1.655639945,       1.331842938,         1.1259841,       4.368200224
          0,           0,           9,       -1.66292977,       1.323142947,       1.127908579,       4.360257193
          0,           0,          10,       -1.66772017,       1.315173525,       1.133497757,       4.354361786
          0,           0,          11,      -1.672197398,       1.308891775,       1.130396676,       4.348056316
          0,           0,          12,      -1.678827734,       1.297661513,       1.135817286,       4.339475771
          0,           0,          13,      -1.694193748,        1.27580686,       1.133318619,       4.321969592
          0,           0,          14,      -1.710603095,       1.252316225,       1.129083178,        4.30320488
          0,           0,          15,      -1.707944936,       1.250130354,       1.141997069,       4.306557715
          0,           0,          16,      -1.678980278,        1.27974419,       1.157149882,       4.341896774
          0,           0,          17,      -1.627979112,       1.323059725,       1.217169737,        4.40371063
          0,           0,          18,      -1.620495219,        1.32216839,       1.241317828,       4.412883787
          0,           0,          19,      -1.636800715,       1.293772923,       1.252080208,       4.391913613
          0,           0,          20,      -1.664282442,       1.256004949,       1.254693672,       4.358855921
          0,           0,          21,      -1.633356368,       1.303240394,       1.251735011,       4.396149603
          0,           0,          22,      -1.618706576,        1.32643777,        1.23091441,       4.412544904
          0,           0,          23,      -1.634501759,       1.299191026,       1.273282681,       4.389203532
          0,           0,          24,       -1.62705259,       1.294025933,       1.287705802,       4.395409281
          0,           0,          25,      -1.591246227,       1.348667048,       1.269552845,       4.441566655
          0,           0,          26,      -1.621917454,       1.327333073,       1.213540421,       4.409161129
          0,           0,          27,      -1.692742801,       1.250121563,       1.180475919,       4.328101378
          0,           0,          28,      -1.687315927,        1.24127819,       1.216128238,       4.331707853
          0,           0,          29,      -1.661725676,       1.277041253,       1.217078978,        4.36274339
          0,           0,          30,      -1.708657911,       1.241439666,       1.177414105,        4.31210778
          0,           0,          31,      -1.759059396,       1.166226863,       1.168379106,       4.254687504
          0,           0,          32,      -1.720430462,       1.208466187,       1.196468857,       4.296721976
          0,           0,          33,      -1.662753086,       1.284931662,       1.230978606,        4.36221033
          0,           0,          34,      -1.701221486,       1.236943913,       1.251208525,       4.316154684
          0,           0,          35,      -1.726333112,        1.18652416,       1.253244167,       4.294308807
          0,           0,          36,      -1.648857883,       1.280201257,       1.276415386,       4.380343087
          0,           0,          37,      -1.655764326,       1.294755346,        1.23271585,       4.371936486
          0,           0,          38,      -1.649091073,       1.289799902,       1.336129794,       4.374199453
          0,           0,          39,      -1.630566312,       1.307345299,       1.356014421,       4.399526504
          0,           0,          40,      -1.642641022,       1.289759395,       1.267659811,       4.386215751
          0,           0,          41,       -1.71651754,       1.237229819,       1.183170486,       4.300446675
          0,           0,          42,      -1.712496598,       1.228393696,       1.218765212,       4.306978161
          0,           0,          43,      -1.749377779,       1.209796698,       1.096545192,       4.264455262
          0,           0,          44,      -1.752966626,       1.200312366,       1.131884956,       4.256561686
          0,           0,          45,      -1.774396455,         1.1840162,       1.104575476,       4.240013712
          0,           0,          46,      -1.794681216,       1.170509082,       1.064156845,       4.218158607
          0,           0,          47,      -1.791232757,       1.175276637,       1.036728003,       4.219330073
          0,           0,          48,      -1.768400599,       1.187972471,       1.089511745,       4.242929614
          0,           0,          49,      -1.788544753,       1.176184199,        1.04805033,       4.224976401
          0,           0,          50,      -1.782027906,       1.175340629,       1.063288961,       4.228926236
          0,           0,          51,      -1.796812194,        1.15628847,       1.058752914,       4.213867674
          0,           0,          52,      -1.809756721,       1.143932829,        1.03450025,       4.200708483
          0,           0,          53,      -1.793626048,        1.16622233,       1.031165959,       4.215894376
          0,           0,          54,      -1.785704324,       1.171852154,       1.059772308,       4.227173216
          0,           0,          55,      -1.803085511,       1.152448679,       1.041144695,       4.208686786
          0,           0,          56,       -1.80289775,       1.151399151,       1.039731655,       4.208048599
          0,           0,          57,      -1.798921213,       1.154971304,       1.046479812,       4.212772802
          0,           0,          58,      -1.793204209,       1.160442178,       1.046601451,       4.218730848
          0,           0,          59,      -1.783268975,       1.169553905,       1.063563783,        4.22789567
          0,           0,          60,      -1.784260992,       1.166767713,       1.068018675,         4.2282118
          0,           0,          61,      -1.811154576,       1.138318837,       1.038810442,       4.199960494
          0,           0,          62,      -1.815364529,       1.135546522,       1.038992852,       4.196227185
          0,           0,          63,      -1.806335804,       1.146338764,       1.045388622,       4.205718531
          0,           0,          64,      -1.800225457,        1.15322757,       1.041161709,       4.210371741
          0,           0,          65,      -1.799990578,       1.151940825,       1.050990537,       4.211334197
          0,           0,          66,      -1.747500558,       1.218227868,        1.09860068,       4.266002813
          0,           0,          67,      -1.763800814,       1.188108159,       1.096450324,       4.249156805
          0,           0,          68,      -1.780891987,       1.171213054,       1.082653133,       4.230021568
          0,           0,          69,      -1.800484449,       1.150250171,       1.063054962,       4.211887955
          0,           0,          70,      -1.792938818,       1.161893471,       1.055701129,       4.218321407
          0,           0,          71,      -1.789940051,       1.166556328,       1.049437042,       4.220266228
          0,           0,          72,      -1.750505251,       1.220477513,       1.088539667,       4.260618568
          0,           0,          73,      -1.751163661,       1.207765835,       1.099247225,        4.26146574
          0,           0,          74,      -1.757349006,       1.203416231,       1.084882862,        4.25136338
          0,           0,          75,      -1.759598582,       1.202793103,       1.082156227,       4.250620285
          0,           0,          76,      -1.776831811,       1.174854267,       1.079880389,       4.235489599
          0,           0,          77,      -1.795191282,       1.153831288,       1.055598157,       4.216083229
          0,           0,          78,      -1.778825801,       1.193100162,       1.039791767,       4.228851199
          0,           0,          79,      -1.792036683,       1.159437652,       1.059992222,       4.220330601
          0,           0,          80,      -1.789233674,        1.18452769,       1.051716651,        4.21709746
          0,           0,          81,      -1.777973687,       1.199983175,       1.050382361,       4.227191802
          0,           0,          82,      -1.800433163,       1.155041362,       1.046196729,       4.208907877
          0,           0,          83,      -1.812120787,       1.145303867,       1.019184536,       4.196410584
          0,           0,          84,       -1.82315081,       1.128865494,       1.023899845,       4.186865228
          0,           0,          85,      -1.822484584,       1.129387653,       1.029490415,        4.18911266
          0,           0,          86,      -1.813021022,        1.13935692,       1.046364256,        4.19950909
          0,           0,          87,      -1.811325826,       1.143742689,       1.039205528,       4.200713769
          0,           0,          88,      -1.724330122,       1.262345524,        1.11800066,       4.284391151
          0,           0,          89,      -1.622148237,       1.344384874,       1.276127683,       4.396305386
          0,           0,          90,      -1.668803094,       1.275410061,       1.231420577,       4.351115797
          0,           0,          91,      -1.630102436,       1.329880723,       1.264609887,       4.391651343
          0,           0,          92,      -1.636342927,       1.313122047,       1.255038252,       4.384188261
          0,           0,          93,        -1.6059826,       1.361152618,       1.294484802,       4.415263706
          0,           0,          94,      -1.611275643,       1.344086898,        1.29022137,       4.409946888
          0,           0,          95,      -1.582756101,       1.370417203,       1.324698874,       4.439655647
          0,           0,          96,      -1.603420229,       1.340452498,        1.29701526,       4.418902491
          0,           0,          97,       -1.58916944,       1.384469787,       1.299915056,       4.431397555
          0,           0,          98,       -1.64079188,       1.309209648,       1.250716325,       4.379973656
          0,           0,          99,       -1.65532865,       1.307106436,       1.241598298,       4.365010746
          0,           0,         100,      -1.670352073,       1.310604463,       1.211920103,       4.346739063
          0,           0,         101,      -1.701302781,       1.265246521,       1.170559122,       4.316152795
          0,           0,         102,      -1.761701377,       1.196295564,       1.100920013,       4.256126033
          0,           0,         103,      -1.733045802,       1.270195737,        1.12359773,       4.279990497
          0,           0,         104,      -1.631546943,       1.360305771,       1.261658246,       4.388110468
          0,           0,         105,      -1.672487983,       1.303503106,       1.213889469,       4.349932828
          0,           0,         106,      -1.770172095,       1.219026895,       1.090297872,        4.24800828
          0,           0,         107,      -1.789754335,       1.214597103,       1.053439143,       4.226168821
          0,           0,         108,      -1.828075192,       1.161833388,       1.012019887,       4.189195697
          0,           0,         109,      -1.857389038,       1.145452111,      0.9949080146,       4.153660324
          0,           0,         110,      -1.817477523,       1.189445569,       1.057759943,       4.196755401
          0,           0,         111,      -1.831292696,       1.169940594,       1.044510108,       4.186606035
          0,           0,         112,      -1.864293349,        1.14272931,       1.000533332,       4.150497448
          0,           0,         113,      -1.786504595,       1.227779472,        1.09105745,       4.235222524
          0,           0,         114,      -1.839849356,       1.166563944,       1.019919355,       4.178519094
          0,           0,         115,      -1.888055397,       1.116188804,      0.9618562806,       4.126773911
          0,           0,         116,      -1.774576164,       1.242988163,       1.150235994,       4.246388436
          0,           0,         117,      -1.806507964,       1.199860975,       1.090397894,       4.219797041
          0,           0,         118,      -1.933090205,       1.073362269,      0.9618791975,       4.083710912
          0,           0,         119,      -1.950776296,       1.058924998,      0.9889577682,       4.065555068
          0,           0,         120,      -1.971521947,        1.03458763,      0.9046323786,       4.041544139
          0,           0,         121,      -1.999655401,       1.007868483,      0.7797597074,       4.010538157
          0,           0,         122,      -2.027838929,      0.9824616241,      0.7571583522,       3.979126785
          0,           0,         123,      -2.062650323,      0.9476859076,      0.7069396234,       3.944159622
          0,           0,         124,      -2.085728669,      0.9280300502,      0.6907371663,       3.919806479
          0,           0,         125,      -2.108822356,      0.8986846064,      0.7066451217,       3.896809867
          0,           0,         126,      -2.139069422,      0.8718860839,      0.6682372187,        3.86617785
          0,           0,         127,      -2.164074594,      0.8471401704,      0.6064561464,        3.84234206
          0,           0,         128,      -2.169164067,      0.8328430994,      0.6631517022,       3.840801529
          0,           0,         129,      -2.166221326,      0.8359441821,      0.6609021436,       3.844529427
          0,           0,         130,      -2.175634742,      0.8447723246,       0.618707159,       3.829623168
          0,           0,         131,      -2.173817139,      0.8574816045,      0.6514825209,       3.830333322
          0,           0,         132,       -2.22056973,      0.7951738132,      0.5803065742,       3.788622398
          0,           0,         133,      -2.239428602,      0.7717693806,      0.5430548586,       3.771540952
          0,           0,         134,      -2.248121154,      0.7657568457,      0.5089691257,       3.762467865
          0,           0,         135,      -2.245216265,      0.7670453499,      0.5259157087,       3.762532691
          0,           0,         136,      -2.248805223,       0.772161242,      0.4621748311,       3.759006482
          0,           0,         137,      -2.237623948,      0.7739064412,      0.5488728185,       3.768424535
          0,           0,         138,      -2.263303288,      0.7661147429,      0.5217471773,       3.739705905
          0,           0,         139,      -2.282524441,      0.7373061366,      0.4766831324,       3.722773757
          0,           0,         140,      -2.279080012,      0.7317847752,      0.4920192476,       3.728782063
          0,           0,         141,      -2.292857168,      0.7290015263,      0.4398194088,       3.714122367
          0,           0,         142,      -2.291586193,      0.7144702486,       0.526716813,       3.713929577
