x,npz,vtu
7.279843557626008987e-03,1.597082495689392090e+00,1.630947947502136230e+00
9.682667719236776743e-03,1.588693261146545410e+00,1.630947947502136230e+00
1.208549188084754276e-02,1.632229447364807129e+00,1.630947947502136453e+00
1.448831604245830879e-02,1.614083647727966309e+00,1.630947947502136230e+00
1.689114020406907654e-02,1.610806941986083984e+00,1.630947947502136230e+00
1.929396436567984430e-02,1.616513848304748535e+00,1.630947947502136453e+00
2.169678852729060858e-02,1.612556695938110352e+00,1.630947947502136230e+00
2.409961268890137634e-02,1.631044864654541016e+00,1.630947947502136230e+00
2.650243685051214410e-02,1.620287775993347168e+00,1.630947947502136230e+00
2.890526101212291185e-02,1.645115733146667480e+00,1.630947947502136453e+00
3.130808517373367961e-02,1.635980248451232910e+00,1.630947947502136230e+00
3.371090933534444389e-02,1.654777169227600098e+00,1.630947947502136230e+00
3.611373349695520818e-02,1.639466524124145508e+00,1.630947947502136230e+00
3.851655765856597941e-02,1.649353623390197754e+00,1.630947947502136230e+00
4.091938182017674369e-02,1.630352139472961426e+00,1.630947947502136230e+00
4.332220598178751492e-02,1.635890960693359375e+00,1.630947947502136230e+00
4.572503014339827920e-02,1.625435829162597656e+00,1.630947947502136230e+00
4.812785430500904349e-02,1.649706006050109863e+00,1.630947947502136230e+00
5.053067846661981471e-02,1.633846402168273926e+00,1.630947947502136230e+00
5.293350262823057900e-02,1.641426086425781250e+00,1.630947947502136230e+00
5.533632678984135023e-02,1.630674242973327637e+00,1.630947947502136230e+00
5.773915095145211451e-02,1.640418052673339844e+00,1.630947947502136230e+00
6.014197511306287880e-02,1.625529766082763672e+00,1.630947947502136230e+00
6.254479927467365696e-02,1.621369242668151855e+00,1.630947947502136008e+00
6.494762343628440737e-02,1.618631720542907715e+00,1.630947947502136453e+00
6.735044759789518554e-02,1.632386684417724609e+00,1.630947947502136230e+00
6.975327175950594982e-02,1.626479268074035645e+00,1.630947947502136230e+00
7.215609592111671411e-02,1.638938546180725098e+00,1.630947947502136008e+00
7.455892008272747840e-02,1.630849838256835938e+00,1.630947947502136230e+00
7.696174424433824268e-02,1.617195248603820801e+00,1.630947947502136453e+00
7.936456840594902085e-02,1.627552628517150879e+00,1.630947947502136453e+00
8.176739256755978513e-02,1.629776716232299805e+00,1.630947947502136230e+00
8.417021672917054942e-02,1.624277710914611816e+00,1.630947947502136230e+00
8.657304089078131371e-02,1.626741886138916016e+00,1.630947947502136453e+00
8.897586505239207799e-02,1.626757979393005371e+00,1.630947947502136230e+00
9.137868921400285616e-02,1.635712504386901855e+00,1.630947947502136230e+00
9.378151337561362044e-02,1.632917046546936035e+00,1.630947947502136230e+00
9.618433753722438473e-02,1.646673917770385742e+00,1.630947947502136230e+00
9.858716169883514902e-02,1.647315263748168945e+00,1.630947947502136230e+00
1.009899858604459133e-01,1.658646583557128906e+00,1.630947947502136230e+00
1.033928100220566915e-01,1.644536733627319336e+00,1.630947947502136230e+00
1.057956341836674558e-01,1.658317565917968750e+00,1.630947947502136230e+00
1.081984583452782200e-01,1.637290954589843750e+00,1.630947947502136230e+00
1.106012825068889843e-01,1.656929135322570801e+00,1.630947947502136230e+00
1.130041066684997486e-01,1.632819652557373047e+00,1.630947947502136230e+00
1.154069308301105129e-01,1.643284797668457031e+00,1.630947947502136453e+00
1.178097549917212911e-01,1.638523221015930176e+00,1.630947947502136230e+00
1.202125791533320553e-01,1.653239727020263672e+00,1.630947947502136008e+00
1.226154033149428196e-01,1.635283470153808594e+00,1.630947947502136230e+00
1.250182274765535839e-01,1.653314352035522461e+00,1.630947947502136230e+00
1.274210516381643621e-01,1.636304855346679688e+00,1.630947947502136230e+00
1.298238757997751125e-01,1.644096374511718750e+00,1.630947947502136008e+00
