id,label,file,comp1,comp2
0,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.2_0.2_ma_2.563_pres_121446_interpolated_arrays.npz,-140.206,7.83968
1,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.4_0.4_ma_5.821_pres_92737_interpolated_arrays.npz,-332.265,-23.4323
2,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.2_0.2_ma_2.284_pres_140453_interpolated_arrays.npz,-33.2363,37.9816
3,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.6_0.6_ma_3.17_pres_153381_interpolated_arrays.npz,41.0432,104.808
4,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.9_0.9_ma_6.106_pres_163069_interpolated_arrays.npz,106.136,109.817
5,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.6_0.6_ma_6.249_pres_163501_interpolated_arrays.npz,91.489,152.571
6,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.1_0.1_ma_2.857_pres_111185_interpolated_arrays.npz,-215.565,-25.3872
7,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.7_0.7_ma_2.98_pres_150915_interpolated_arrays.npz,80.8178,-115.04
8,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.1_0.1_ma_3.17_pres_153381_interpolated_arrays.npz,78.9476,5.36969
9,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.9_0.9_ma_5.922_pres_125248_interpolated_arrays.npz,-127.81,29.432
10,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.0_0.0_ma_3.298_pres_109837_interpolated_arrays.npz,-204.331,-160.275
11,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.4_0.4_ma_3.907_pres_154079_interpolated_arrays.npz,100.348,-75.2962
12,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.4_0.4_ma_2.506_pres_190323_interpolated_arrays.npz,314.603,-88.8589
13,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.1_0.1_ma_6.258_pres_169098_interpolated_arrays.npz,141.23,70.9229
14,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.9_0.9_ma_2.506_pres_190323_interpolated_arrays.npz,338.909,-86.8988
15,Fully-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_fully/double_ramp_0.3_0.3_ma_6.077_pres_109747_interpolated_arrays.npz,-240.938,36.7289
16,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p2_0p2_ma_2p563_pres_121446_interpolated_arrays_density_M2p563_T300p0_P121446p0/flow.vtu,-147.243,18.7023
17,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p4_0p4_ma_5p821_pres_92737_interpolated_arrays_density_M5p821_T300p0_P92737p0/flow.vtu,-342.63,-21.426
18,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p2_0p2_ma_2p284_pres_140453_interpolated_arrays_density_M2p284_T300p0_P140453p0/flow.vtu,-38.8149,40.6852
19,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p6_0p6_ma_3p17_pres_153381_interpolated_arrays_density_M3p170_T300p0_P153381p0/flow.vtu,41.2932,107.444
