"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -0.0794272572, 0.0288338855, 0.0000000000, 0.0000000000, 0.0000000000, -0.0864595239, 0.0288338855, -0.0794272572, 0.0000000000, -2.7546498070, -0.5927087845, 2.4249780637, -13.0108566029, 5.3335204426, 0.0000000000, 1.0000000000, 1.0000000000, 0.0013558333
           1, -0.1736692722, 0.0630745329, 0.0000000000, 0.0000000000, 0.0000000000, -0.1891534445, 0.0630745329, -0.1736692722, 0.0000000000, -2.7533976726, -0.5443784403, 2.4600542532, 1.4580805063, 5.3993584520, 0.0000000000, 2.0000000000, 1.0010000000, 0.0028218167
           2, -0.2669117685, 0.0969688672, 0.0000000000, 0.0000000000, 0.0000000000, -0.2900457533, 0.0969688672, -0.2669117685, 0.0000000000, -2.7525511671, -0.5881396132, 2.3962652008, 1.7902454558, 5.3692421898, 0.0000000000, 2.0000000000, 1.0010000000, 0.0042688167
           3, -0.3410882873, 0.1239406932, 0.0000000000, 0.0000000000, 0.0000000000, -0.3685636120, 0.1239406932, -0.3410882873, 0.0000000000, -2.7520282355, -0.7334690325, 2.2149581305, 1.9370742010, 5.2285070486, 0.0000000000, 3.0000000000, 1.0527243389, 0.0058358833
           4, -0.3738219623, 0.1358445281, 0.0000000000, 0.0000000000, 0.0000000000, -0.3997984109, 0.1358445281, -0.3738219623, 0.0000000000, -2.7518367326, -0.9136234783, 1.9855706233, 1.9857345068, 5.0218358087, 0.0000000000, 3.0000000000, 1.2444555060, 0.0074663833
           5, -0.3426577597, 0.1245072296, 0.0000000000, 0.0000000000, 0.0000000000, -0.3616398483, 0.1245072296, -0.3426577597, 0.0000000000, -2.7521113496, -0.7700808184, 2.1842670378, 1.9935624767, 5.1815768498, 0.0000000000, 3.0000000000, 1.5312870032, 0.0091200000
           6, -0.3046306851, 0.1106760055, 0.0000000000, 0.0000000000, 0.0000000000, -0.3198538129, 0.1106760055, -0.3046306851, 0.0000000000, -2.7524546407, -0.6696059281, 2.2893893221, 1.9701264580, 5.2943688770, 0.0000000000, 3.0000000000, 1.0010000000, 0.0106962167
           7, -0.2690799994, 0.0977455087, 0.0000000000, 0.0000000000, 0.0000000000, -0.2820210523, 0.0977455087, -0.2690799994, 0.0000000000, -2.7528630518, -0.6869201597, 2.2679370550, 1.9398550710, 5.2747277939, 0.0000000000, 3.0000000000, 1.0010000000, 0.0122680000
           8, -0.2426274033, 0.0881242003, 0.0000000000, 0.0000000000, 0.0000000000, -0.2548725714, 0.0881242003, -0.2426274033, 0.0000000000, -2.7532437456, -0.7488026633, 2.1995697428, 1.9076596122, 5.2062683047, 0.0000000000, 3.0000000000, 1.0211538834, 0.0138341667
           9, -0.2280898192, 0.0828370226, 0.0000000000, 0.0000000000, 0.0000000000, -0.2411349349, 0.0828370226, -0.2280898192, 0.0000000000, -2.7534767900, -0.8320275390, 2.1040546433, 1.8921961165, 5.1153965028, 0.0000000000, 3.0000000000, 1.0965601145, 0.0153924167
          10, -0.2271156664, 0.0824841549, 0.0000000000, 0.0000000000, 0.0000000000, -0.2421756097, 0.0824841549, -0.2271156664, 0.0000000000, -2.7534460003, -0.9124561105, 2.0066506568, 1.8800502046, 5.0295147337, 0.0000000000, 3.0000000000, 1.2068266247, 0.0169636167
          11, -0.2379270699, 0.0864193368, 0.0000000000, 0.0000000000, 0.0000000000, -0.2554156397, 0.0864193368, -0.2379270699, 0.0000000000, -2.7531693563, -0.9549896453, 1.9585597320, 1.8531390626, 4.9845008883, 0.0000000000, 3.0000000000, 1.3239121526, 0.0185956833
          12, -0.2537556209, 0.0921803487, 0.0000000000, 0.0000000000, 0.0000000000, -0.2729845113, 0.0921803487, -0.2537556209, 0.0000000000, -2.7528168902, -0.9588719570, 1.9608041865, 1.8237171892, 4.9799006278, 0.0000000000, 3.0000000000, 1.3903557462, 0.0202217500
          13, -0.2672683736, 0.0970992573, 0.0000000000, 0.0000000000, 0.0000000000, -0.2870763239, 0.0970992573, -0.2672683736, 0.0000000000, -2.7525274777, -0.9657916322, 1.9540453690, 1.8091921952, 4.9733308176, 0.0000000000, 3.0000000000, 1.3965840956, 0.0218571167
