"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
204, 9.999999999956030e-03, 9.342000000000000e-01, 1.013250000000001e+05, 1.595735968239367e-16, 2.999999999995596e+00
4, 0.000000000000000e+00, 9.342000000000000e-01, 1.013250000000000e+05, 0.000000000000000e+00, 2.999999999995598e+00
205, 1.999999999991175e-02, 9.342000000000000e-01, 1.013250000000001e+05, 1.367773687062315e-16, 2.999999999995598e+00
206, 2.999999999986702e-02, 9.342000000000000e-01, 1.013250000000002e+05, 2.507585092947577e-16, 2.999999999995596e+00
207, 3.999999999982210e-02, 9.342000000000000e-01, 1.013250000000000e+05, 0.000000000000000e+00, 2.999999999995599e+00
208, 4.999999999977719e-02, 9.342000000000000e-01, 1.013250000000003e+05, 4.331283342363997e-16, 2.999999999995593e+00
209, 5.999999999973227e-02, 9.342000000000000e-01, 1.013250000000002e+05, 3.419434217655787e-16, 2.999999999995593e+00
210, 6.999999999968734e-02, 9.342000000000000e-01, 1.013250000000002e+05, 3.419434217655787e-16, 2.999999999995593e+00
211, 7.999999999964243e-02, 9.342000000000000e-01, 1.013250000000003e+05, 4.103321061186945e-16, 2.999999999995591e+00
212, 8.999999999959934e-02, 9.342000000000000e-01, 1.013249999999997e+05, -4.787207904718102e-16, 2.999999999995603e+00
213, 9.999999999955964e-02, 9.342000000000000e-01, 1.013249999999996e+05, -5.699057029426312e-16, 2.999999999995607e+00
214, 1.099999999995227e-01, 9.342000000000000e-01, 1.013249999999999e+05, -1.595735968239367e-16, 2.999999999995603e+00
215, 1.199999999994870e-01, 9.342000000000000e-01, 1.013250000000001e+05, 1.595735968239367e-16, 2.999999999995599e+00
216, 1.299999999994513e-01, 9.342000000000000e-01, 1.013250000000001e+05, 1.595735968239367e-16, 2.999999999995600e+00
217, 1.399999999994157e-01, 9.342000000000000e-01, 1.013250000000001e+05, 1.139811405885262e-16, 2.999999999995602e+00
218, 1.499999999993800e-01, 9.342000000000000e-01, 1.013250000000001e+05, 9.118491247082098e-17, 2.999999999995602e+00
219, 1.599999999993443e-01, 9.342000000000000e-01, 1.013250000000002e+05, 2.507585092947577e-16, 2.999999999995599e+00
220, 1.699999999993087e-01, 9.342000000000000e-01, 1.013250000000002e+05, 3.191471936478735e-16, 2.999999999995597e+00
221, 1.799999999992710e-01, 9.342000000000000e-01, 1.013250000000001e+05, 1.823698249416420e-16, 2.999999999995598e+00
